customer_id,gender,tenure,monthly_charges,contract_type,internet_service,churn
307,Female,46,945.87,One year,Fiber,No
308,Female,51,1153.29,Two year,None,Yes
309,Female,53,1328.62,Month-to-month,None,Yes
310,Female,59,1251.81,Two year,None,No
311,Female,56,1126.89,Month-to-month,DSL,No
312,Male,46,1158.39,Month-to-month,Fiber,No
313,Female,30,599.9,Month-to-month,None,No
314,Male,45,1681.65,One year,Fiber,No
315,Male,25,1220.99,Month-to-month,Fiber,No
316,Female,4,522.84,One year,None,No
317,Male,51,1602.47,Month-to-month,None,No
318,Male,53,1885.15,Month-to-month,DSL,Yes
319,Male,32,1910.42,One year,Fiber,No
320,Female,49,927.33,One year,None,No
321,Female,37,530.38,Two year,None,No
322,Male,26,1181.28,Month-to-month,Fiber,No
323,Female,14,491.44,One year,None,No
324,Female,60,1887.78,Two year,Fiber,No
325,Female,20,612.09,Two year,None,No
326,Female,45,729.7,One year,Fiber,No
327,Male,68,991.28,Month-to-month,None,Yes
328,Male,5,951.38,Two year,None,No
329,Female,37,1650.93,Month-to-month,DSL,No
330,Female,61,1075.74,Month-to-month,Fiber,Yes
331,Male,61,590.31,Two year,DSL,No
332,Male,45,754.26,One year,None,No
333,Female,12,1165.49,Month-to-month,Fiber,No
334,Male,2,550.67,One year,Fiber,No
335,Female,5,1339.81,Two year,None,No
336,Female,7,1261.77,Month-to-month,None,No
337,Male,43,1514.99,One year,None,Yes
338,Male,32,1894.1,One year,None,No
339,Female,49,1850.83,Month-to-month,Fiber,No
340,Female,10,1908.33,One year,DSL,No
341,Male,27,716.02,One year,Fiber,No
342,Female,69,523.66,Two year,Fiber,No
343,Male,40,813.87,Two year,Fiber,Yes
344,Female,15,1821.64,One year,Fiber,Yes
345,Male,67,1952.49,One year,None,No
346,Male,47,1760.85,Month-to-month,DSL,No
347,Male,55,487.03,Two year,Fiber,Yes
348,Female,63,1910.63,Month-to-month,Fiber,No
349,Female,58,1019.71,One year,DSL,No
350,Male,61,315.83,Month-to-month,None,No
351,Female,10,1052.07,One year,Fiber,Yes
352,Male,17,378.32,Two year,None,No
353,Male,18,1224.59,Two year,Fiber,Yes
354,Female,54,875.54,One year,Fiber,No
355,Female,25,1104.84,Two year,DSL,No
356,Male,5,1342.39,One year,DSL,No
357,Female,3,1776.96,Month-to-month,None,No
358,Female,28,1425.23,One year,Fiber,Yes
359,Male,58,1037.88,Month-to-month,None,No
360,Male,16,1693.03,One year,DSL,No
361,Female,42,1839.49,Two year,DSL,No
362,Male,65,503.59,One year,DSL,No
363,Male,33,1204.29,One year,DSL,No
364,Female,7,783.67,One year,DSL,No
365,Male,12,380.0,Two year,None,No
366,Male,7,1436.53,One year,None,Yes
367,Female,64,1766.71,Two year,DSL,No
368,Female,42,576.93,One year,Fiber,Yes
369,Male,38,1681.1,Month-to-month,Fiber,No
370,Male,58,1750.77,One year,Fiber,No
371,Female,43,1854.38,Month-to-month,Fiber,No
372,Female,8,750.98,Two year,Fiber,Yes
373,Female,36,1836.72,Two year,DSL,No
374,Female,35,845.13,One year,None,Yes
375,Male,27,1238.97,Two year,DSL,No
376,Female,41,385.86,One year,Fiber,No
377,Female,42,374.6,Two year,Fiber,No
378,Male,41,1524.63,Month-to-month,None,No
379,Female,65,1055.62,Two year,DSL,No
380,Male,54,735.7,Month-to-month,None,Yes
381,Female,71,623.7,One year,Fiber,Yes
382,Female,47,1438.92,One year,Fiber,Yes
383,Female,21,300.68,One year,None,Yes
384,Male,26,1670.01,Month-to-month,Fiber,Yes
385,Male,66,434.72,One year,DSL,Yes
386,Female,12,625.53,One year,Fiber,No
387,Male,44,956.6,Month-to-month,Fiber,No
388,Male,9,1124.26,Two year,DSL,No
389,Male,8,903.49,One year,Fiber,No
390,Male,53,845.21,Two year,None,Yes
391,Male,26,1938.66,Two year,None,No
392,Male,33,1390.69,One year,Fiber,No
393,Female,0,339.84,One year,DSL,No
394,Female,31,1031.3,Month-to-month,DSL,No
395,Male,70,1787.51,Month-to-month,None,No
396,Female,66,812.48,One year,Fiber,No
397,Female,19,460.75,Two year,DSL,No
398,Female,34,1589.25,Month-to-month,DSL,No
399,Female,16,1330.22,Month-to-month,None,No
400,Male,17,1269.53,One year,None,No
401,Female,44,391.08,One year,DSL,No
402,Female,52,538.85,One year,None,No
403,Male,67,1358.33,One year,DSL,No
404,Male,64,653.3,Month-to-month,Fiber,Yes
405,Female,0,1156.92,Month-to-month,None,No
406,Female,57,1226.3,Month-to-month,None,Yes
407,Female,25,781.96,Two year,Fiber,Yes
408,Female,19,1912.32,Month-to-month,DSL,Yes
409,Female,9,1732.19,Month-to-month,DSL,No
410,Female,58,1528.03,One year,None,No
411,Male,40,432.59,Month-to-month,DSL,No
412,Female,4,480.42,Month-to-month,DSL,No
413,Female,64,1137.73,Month-to-month,Fiber,Yes
414,Male,16,573.21,One year,Fiber,No
415,Male,21,1963.05,Month-to-month,Fiber,Yes
416,Male,40,569.48,Month-to-month,None,Yes
417,Male,67,1128.7,Two year,Fiber,No
418,Female,68,919.01,Two year,Fiber,No
419,Female,10,1386.96,Two year,DSL,No
420,Female,55,519.36,Two year,Fiber,No
421,Female,50,1031.54,One year,None,No
422,Female,20,767.0,Two year,Fiber,Yes
423,Female,25,1809.18,Month-to-month,None,No
424,Male,18,369.0,Two year,DSL,No
425,Female,59,1853.34,One year,DSL,No
426,Male,70,1716.09,Two year,Fiber,No
427,Male,46,805.87,Two year,DSL,No
428,Female,70,1641.79,One year,Fiber,No
429,Male,25,353.06,One year,DSL,No
430,Female,39,1943.67,One year,None,No
431,Male,4,1195.21,One year,DSL,No
432,Female,20,815.58,One year,Fiber,No
433,Male,3,916.39,One year,Fiber,Yes
434,Female,22,412.89,Month-to-month,Fiber,No
435,Female,14,1981.89,Two year,None,No
436,Female,7,366.8,Two year,DSL,No
437,Female,40,1413.34,One year,Fiber,No
438,Female,18,1052.65,One year,None,Yes
439,Male,45,1913.16,Month-to-month,None,Yes
440,Male,27,718.2,Month-to-month,None,No
441,Male,67,1204.55,One year,DSL,Yes
442,Female,14,1120.01,Month-to-month,DSL,Yes
443,Male,36,1494.87,Month-to-month,DSL,No
444,Female,0,415.62,One year,None,Yes
445,Female,66,629.44,One year,DSL,No
446,Male,23,664.76,One year,Fiber,No
447,Male,26,1554.86,One year,None,Yes
448,Female,39,621.54,Two year,DSL,No
449,Male,62,1274.94,Two year,None,Yes
450,Female,60,665.91,One year,None,No
451,Female,35,1764.76,Month-to-month,DSL,Yes
452,Female,23,1901.72,One year,None,No
453,Female,23,1181.44,Two year,DSL,No
454,Female,3,898.93,Month-to-month,DSL,No
455,Male,66,697.9,Two year,DSL,Yes
456,Male,33,384.63,One year,None,No
457,Female,56,756.45,Two year,None,No
458,Female,48,1412.2,Two year,DSL,No
459,Male,52,1207.15,Two year,None,No
460,Male,22,1904.87,Month-to-month,DSL,Yes
461,Female,68,973.67,Two year,Fiber,No
462,Male,52,1479.57,Month-to-month,None,No
463,Female,61,1131.85,One year,None,No
464,Male,40,1171.38,One year,Fiber,No
465,Female,56,755.22,Two year,Fiber,No
466,Male,59,1073.42,Month-to-month,Fiber,Yes
467,Female,53,1100.33,One year,DSL,Yes
468,Male,69,1501.29,Month-to-month,DSL,No
469,Male,56,1899.09,Month-to-month,Fiber,No
470,Female,9,859.85,Two year,DSL,Yes
471,Male,39,371.74,Two year,None,No
472,Female,6,1143.7,Month-to-month,Fiber,No
473,Male,37,1225.58,Month-to-month,None,No
474,Female,60,586.35,Two year,DSL,No
475,Male,2,1592.79,Month-to-month,Fiber,No
476,Female,50,1974.38,Two year,DSL,Yes
477,Male,46,1907.82,Month-to-month,None,No
478,Female,67,635.08,Two year,DSL,Yes
479,Male,37,1788.12,Month-to-month,None,No
480,Female,35,1497.64,Two year,DSL,No
481,Female,40,1071.54,Month-to-month,None,No
482,Female,68,1219.04,One year,DSL,Yes
483,Male,12,1744.32,One year,Fiber,No
484,Female,57,1116.23,Month-to-month,Fiber,No
485,Male,49,934.45,One year,DSL,Yes
486,Female,29,1138.52,Month-to-month,None,Yes
487,Male,61,1284.52,Month-to-month,DSL,Yes
488,Female,24,621.43,One year,Fiber,No
489,Male,26,1831.54,Month-to-month,None,Yes
490,Male,50,1446.12,Two year,DSL,No
491,Female,56,1376.56,Month-to-month,DSL,Yes
492,Male,46,469.14,Month-to-month,None,Yes
493,Male,38,1327.1,One year,DSL,Yes
494,Female,15,505.63,Two year,Fiber,Yes
495,Male,21,433.79,Month-to-month,Fiber,No
496,Male,53,1196.43,Month-to-month,None,Yes
497,Male,20,984.74,Month-to-month,DSL,No
498,Female,71,1300.98,Month-to-month,DSL,Yes
499,Male,15,451.68,Month-to-month,Fiber,Yes
500,Female,58,1032.67,Month-to-month,None,No
501,Male,30,597.14,Two year,None,No
502,Male,41,1978.07,Two year,None,Yes
503,Male,31,1253.96,Month-to-month,Fiber,No
504,Female,58,1468.64,Month-to-month,Fiber,No
505,Male,33,853.21,One year,None,No
506,Male,8,461.06,Two year,None,No
507,Female,10,1958.98,Two year,DSL,No
508,Male,9,786.64,Month-to-month,DSL,No
509,Female,16,1020.47,Two year,None,No
510,Female,67,1404.77,Two year,Fiber,Yes
511,Male,47,341.99,One year,Fiber,No
512,Female,51,1677.44,One year,DSL,No
513,Male,24,1212.18,Two year,None,No
514,Female,20,772.97,Two year,Fiber,No
515,Female,64,404.73,Two year,Fiber,No
516,Male,62,576.25,Month-to-month,Fiber,Yes
517,Female,50,1821.56,One year,Fiber,No
518,Female,35,1466.24,Month-to-month,DSL,No
519,Female,65,724.83,One year,Fiber,Yes
520,Female,14,411.52,One year,Fiber,No
521,Female,38,1474.05,One year,None,No
522,Male,69,1273.09,Two year,None,Yes
523,Female,0,987.68,One year,DSL,No
524,Male,22,918.14,Month-to-month,DSL,Yes
525,Female,38,668.58,One year,DSL,No
526,Male,56,1438.34,Month-to-month,DSL,No
527,Male,33,1950.14,One year,Fiber,Yes
528,Female,40,598.72,One year,None,No
529,Female,72,1315.1,Two year,Fiber,No
530,Female,12,1021.11,Month-to-month,Fiber,Yes
531,Male,69,1059.37,One year,Fiber,No
532,Female,5,732.05,One year,None,Yes
533,Male,51,1702.73,Month-to-month,DSL,Yes
534,Male,2,1124.93,One year,DSL,No
535,Male,62,1223.79,Two year,None,No
536,Female,48,818.09,Month-to-month,None,No
537,Female,46,609.07,Two year,DSL,Yes
538,Male,54,446.05,Month-to-month,Fiber,No
539,Male,63,1514.0,Month-to-month,DSL,No
540,Female,64,633.6,Month-to-month,None,No
541,Male,66,1473.13,One year,DSL,No
542,Female,14,963.64,Month-to-month,DSL,No
543,Male,31,1006.82,Month-to-month,DSL,Yes
544,Female,67,1097.6,Month-to-month,None,No
545,Male,17,925.1,Two year,None,No
546,Female,42,471.05,Month-to-month,DSL,Yes
547,Male,34,826.37,One year,DSL,No
548,Female,57,1428.35,Month-to-month,Fiber,Yes
549,Female,32,1431.83,Month-to-month,Fiber,No
550,Male,13,786.58,Two year,DSL,No
551,Male,33,1082.17,One year,None,Yes
552,Female,60,628.86,One year,Fiber,No
553,Male,3,657.63,One year,DSL,No
554,Female,58,339.18,Month-to-month,Fiber,No
555,Male,28,1824.47,Month-to-month,Fiber,Yes
556,Female,5,658.2,One year,Fiber,Yes
557,Female,48,686.81,One year,None,No
558,Female,39,775.32,Two year,DSL,Yes
559,Female,64,516.59,One year,None,No
560,Female,68,1386.75,Month-to-month,None,No
561,Female,26,427.74,Month-to-month,Fiber,Yes
562,Male,5,528.14,Month-to-month,DSL,Yes
563,Male,12,1396.09,Two year,Fiber,No
564,Male,63,877.42,One year,None,No
565,Female,61,1503.51,Month-to-month,None,No
566,Female,18,1247.62,Two year,DSL,Yes
567,Female,42,735.24,Two year,None,Yes
568,Female,19,1406.41,Month-to-month,None,No
569,Male,67,497.67,Two year,DSL,Yes
570,Male,43,1211.9,Two year,Fiber,Yes
571,Female,22,1043.15,Month-to-month,DSL,Yes
572,Male,1,755.39,Two year,None,No
573,Male,21,1326.81,Month-to-month,DSL,No
574,Female,56,1781.27,Month-to-month,Fiber,No
575,Male,71,1998.14,Two year,None,No
576,Female,6,1333.2,Month-to-month,Fiber,Yes
577,Male,55,988.0,Month-to-month,Fiber,Yes
578,Female,66,682.85,One year,DSL,No
579,Female,15,737.06,Month-to-month,Fiber,Yes
580,Female,50,1115.07,One year,DSL,No
581,Female,71,924.37,One year,DSL,No
582,Male,11,1853.48,One year,Fiber,No
583,Female,52,926.1,One year,DSL,No
584,Female,4,934.86,Two year,DSL,No
585,Female,26,952.01,Two year,Fiber,No
586,Male,11,1722.25,Month-to-month,None,Yes
587,Female,16,1406.34,Month-to-month,DSL,No
588,Male,5,1344.09,Month-to-month,DSL,No
589,Female,4,868.04,Two year,Fiber,No
590,Male,56,1690.44,One year,DSL,Yes
591,Male,27,365.22,Two year,Fiber,No
592,Female,68,1780.36,Two year,None,Yes
593,Male,58,1171.67,Month-to-month,None,No
594,Female,32,977.03,Month-to-month,Fiber,No
595,Female,61,1145.18,Month-to-month,None,Yes
596,Female,49,1434.61,One year,Fiber,No
597,Male,18,321.7,One year,DSL,No
598,Male,68,1781.64,Two year,None,No
599,Female,65,1059.46,One year,DSL,No
600,Female,46,883.04,Month-to-month,DSL,Yes
601,Male,38,535.02,One year,Fiber,No
602,Female,67,1047.09,One year,None,No
603,Female,32,1143.75,One year,None,No
604,Female,12,986.2,One year,DSL,No
605,Male,53,1453.72,Month-to-month,DSL,No
606,Male,6,1015.52,Month-to-month,Fiber,No
607,Male,13,1934.41,Two year,None,No
608,Female,18,1318.77,Two year,Fiber,No
609,Female,53,1672.71,Two year,Fiber,No
610,Female,19,485.91,One year,Fiber,No
611,Male,28,975.4,One year,None,No
612,Female,23,872.64,Month-to-month,Fiber,Yes
613,Female,62,1268.12,Two year,None,No
614,Female,56,1763.89,Month-to-month,Fiber,Yes
615,Female,7,433.17,Two year,DSL,No
616,Male,61,423.38,Two year,Fiber,Yes
617,Male,28,1745.54,Two year,Fiber,No
